"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 07월 18일","10,906,000","10,927,000","10,927,000","10,906,000","0.33K","-0.19%"
"2020년 07월 17일","10,927,000","10,929,000","10,929,000","10,879,000","0.31K","-0.02%"
"2020년 07월 16일","10,929,000","10,975,000","10,975,000","10,929,000","0.47K","-0.42%"
"2020년 07월 15일","10,975,000","11,006,000","11,006,000","10,973,000","0.47K","-0.28%"
"2020년 07월 14일","11,006,000","11,000,000","11,006,000","10,970,000","0.58K","0.05%"
"2020년 07월 13일","11,000,000","11,022,000","11,022,000","11,000,000","0.97K","-0.20%"
"2020년 07월 12일","11,022,000","10,968,000","11,022,000","10,946,000","0.52K","0.49%"
"2020년 07월 11일","10,968,000","11,034,000","11,034,000","10,968,000","0.28K","-0.60%"
"2020년 07월 10일","11,034,000","10,950,000","11,034,000","10,950,000","0.60K","0.77%"
"2020년 07월 09일","10,950,000","11,128,000","11,137,000","10,950,000","0.84K","-1.57%"
"2020년 07월 08일","11,125,000","10,971,000","11,125,000","10,971,000","0.69K","1.40%"
"2020년 07월 07일","10,971,000","11,045,000","11,045,000","10,971,000","0.37K","-0.67%"
"2020년 07월 06일","11,045,000","10,830,000","11,045,000","10,824,000","0.96K","2.00%"
"2020년 07월 05일","10,828,000","10,887,000","10,898,000","10,772,000","0.52K","-0.54%"
"2020년 07월 04일","10,887,000","10,834,000","10,966,000","10,806,000","0.47K","0.49%"
"2020년 07월 03일","10,834,000","10,867,000","10,909,000","10,827,000","0.31K","-0.30%"
"2020년 07월 02일","10,867,000","11,042,000","11,070,000","10,763,000","1.05K","-1.58%"
"2020년 07월 01일","11,042,000","10,914,000","11,101,000","10,886,000","0.67K","1.17%"
"2020년 06월 30일","10,914,000","10,970,000","10,989,000","10,866,000","0.37K","-0.51%"
"2020년 06월 29일","10,970,000","10,960,000","11,030,000","10,822,000","0.62K","-0.03%"
"2020년 06월 28일","10,973,000","10,908,000","11,061,000","10,757,000","0.46K","0.60%"
"2020년 06월 27일","10,908,000","11,027,000","11,035,000","10,800,000","1.48K","-1.08%"
"2020년 06월 26일","11,027,000","11,139,000","11,176,000","10,900,000","0.48K","-1.01%"
"2020년 06월 25일","11,139,000","11,223,000","11,223,000","10,850,000","0.52K","-0.81%"
"2020년 06월 24일","11,230,000","11,495,000","11,540,000","11,116,000","1.08K","-2.31%"
"2020년 06월 23일","11,495,000","11,597,000","11,631,000","11,472,000","0.50K","-0.88%"
"2020년 06월 22일","11,597,000","11,236,000","11,667,000","11,232,000","1.44K","3.21%"
"2020년 06월 21일","11,236,000","11,314,000","11,359,000","11,232,000","0.35K","-0.69%"
"2020년 06월 20일","11,314,000","11,281,000","11,349,000","11,152,000","0.43K","0.29%"
"2020년 06월 19일","11,281,000","11,336,000","11,373,000","11,157,000","0.39K","-0.50%"
"2020년 06월 18일","11,338,000","11,426,000","11,444,000","11,233,000","0.73K","-0.78%"
"2020년 06월 17일","11,427,000","11,453,000","11,508,000","11,290,000","0.78K","-0.21%"
"2020년 06월 16일","11,451,000","11,335,000","11,498,000","11,254,000","0.53K","1.02%"
